x,y,Distance
Zachodniopomorskie,Małopolskie,0.0
Zachodniopomorskie,Śląskie,0.0
Zachodniopomorskie,Wielkopolskie,0.0
Zachodniopomorskie,Zachodniopomorskie,200.0
Zachodniopomorskie,Lubuskie,67.58695440890628
Zachodniopomorskie,Dolnośląskie,0.0
Zachodniopomorskie,Opolskie,0.0
Zachodniopomorskie,Kujawsko-Pomorskie,46.79134288819065
Zachodniopomorskie,Warmińsko-Mazurskie,74.88620020949773
Zachodniopomorskie,Pomorskie,48.99675547013116
Zachodniopomorskie,Łódzkie,0.0
Zachodniopomorskie,Świętokrzyskie,0.0
Zachodniopomorskie,Lubelskie,47.03709090359896
Zachodniopomorskie,Podkarpackie,0.0
Zachodniopomorskie,Podlaskie,26.29616720432156
Zachodniopomorskie,Mazowieckie,0.0
Lubuskie,Prague,0.0
Lubuskie,Central Bohemian,39.09864364074954
Lubuskie,South Bohemian,45.997339262246335
Lubuskie,Plzeň,0.0
Lubuskie,Karlovy Vary,0.0
Lubuskie,Ústí nad Labem,50.86795582749997
Lubuskie,Liberec,30.26186951288143
Lubuskie,Hradec Králové,34.5444066486523
Lubuskie,Olomouc,0.0
Lubuskie,South Moravian,41.05904198094456
Lubuskie,Vysočina,0.0
Lubuskie,Pardubice,0.0
Lubuskie,Zlín,34.923056038437906
Lubuskie,Moravian-Silesian,0.0
Lubuskie,Małopolskie,0.0
Lubuskie,Śląskie,0.0
Lubuskie,Wielkopolskie,0.0
Lubuskie,Zachodniopomorskie,67.58695440890628
Lubuskie,Lubuskie,200.0
Lubuskie,Dolnośląskie,0.0
Lubuskie,Opolskie,0.0
Lubuskie,Kujawsko-Pomorskie,30.005436256399882
Lubuskie,Warmińsko-Mazurskie,69.90769987383626
Lubuskie,Pomorskie,30.05540828991694
Lubuskie,Łódzkie,0.0
Lubuskie,Świętokrzyskie,0.0
Lubuskie,Lubelskie,29.635058183389123
Lubuskie,Podkarpackie,0.0
Lubuskie,Podlaskie,32.937284010307664
Lubuskie,Mazowieckie,0.0
Dolnośląskie,Prague,0.0
Dolnośląskie,Central Bohemian,0.0
Dolnośląskie,South Bohemian,0.0
Dolnośląskie,Plzeň,0.0
Dolnośląskie,Karlovy Vary,0.0
Dolnośląskie,Ústí nad Labem,0.0
Dolnośląskie,Liberec,0.0
Dolnośląskie,Hradec Králové,0.0
Dolnośląskie,Olomouc,0.0
Dolnośląskie,South Moravian,0.0
Dolnośląskie,Vysočina,0.0
